google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
Magic Buds Walden Cannabis Store,4.2,143,OPERATIONAL,"19605 Walden Blvd SE # 2105, Calgary, AB T2X 4E2, Canada",ChIJv8gsko13cVMR8taDVHuoS3I,Magic Buds,2105-19605 WALDEN BLVD SE
Magic Buds Cranston,4.1,19,OPERATIONAL,"90 Cranleigh Dr SE #9, Calgary, AB T3M 1J7, Canada",ChIJuTOhXAB3cVMR7aLmPQnV_Pg,Magic Buds Cranston,9-90 CRANLEIGH DR SE
Magic Buds Madigan Cannabis Store,4.3,92,OPERATIONAL,"6060 Memorial Dr E #50, Calgary, AB T2A 5Z5, Canada",ChIJ_QLPM917cVMR2OScqZjbB6Q,Magic Buds Madigan,50-6060 MEMORIAL DR NE
MH Cannabis,4.9,162,OPERATIONAL,"2705 A Centre St NW, Calgary, AB T2E 2V5, Canada",ChIJXfBIH6BlcVMRWQSc_Pel0ro,MH4 Cannabis,2705A CENTRE STREET NW
Micro Gold Cannabis McKenzie Lake,4.9,80,OPERATIONAL,"16760 McKenzie Lake Blvd SE, Calgary, AB T2Z 1W3, Canada",ChIJh0ArudB3cVMRmOvoVnxV1JA,Micro Gold Cannabis,16760 MCKENZIE LAKE BLVD SE
Micro Gold Cannabis McKenzie Lake,4.9,80,OPERATIONAL,"16760 McKenzie Lake Blvd SE, Calgary, AB T2Z 1W3, Canada",ChIJh0ArudB3cVMRmOvoVnxV1JA,Micro Gold Retail Cannabis,4825 MACLEOD TRAIL SW
Moderna Cannabis Society,4.7,125,OPERATIONAL,"155 Mahogany Centre SE, Calgary, AB T3M 0T2, Canada",ChIJ0f6ctax3cVMRDKy6x5P2cko,Moderna Cannabis Society,155 MAHOGANY CTR SE
MT Kushmore,4.9,285,OPERATIONAL,"329 11 Ave NE, Calgary, AB T2E 0Z1, Canada",ChIJAZqJquFlcVMR0sX_6WELaPo,Mount Kushmore,329 11 AVE NE
Nirvana Canna Wolf Willow Cannabis Store,4.8,34,OPERATIONAL,"2121 194 Ave SE #125, Calgary, AB T2X 5B1, Canada",ChIJRTxDSdidcVMR0yz9ob3NbiU,Nirvana Canna,8-5032 16 AVE NW
Nirvana Canna Wolf Willow Cannabis Store,4.8,34,OPERATIONAL,"2121 194 Ave SE #125, Calgary, AB T2X 5B1, Canada",ChIJRTxDSdidcVMR0yz9ob3NbiU,Nirvana Canna,125-2121 194 AVENUE SE
Cloud 520 Cannabis Weed Dispensary,4.1,31,OPERATIONAL,"180 Legacy Main St SE Bay 120, Calgary, AB T2X 4R9, Canada",ChIJhTiGnQKdcVMRNdJ92Yto_y4,Northside Growco Inc,1338A 36 AVE NE
Oakridge Cannabis,4.9,97,OPERATIONAL,"10015 Oakfield Dr SW, Calgary, AB T2V 1S9, Canada",ChIJ3Wj2zvdzcVMR_Zd903cBMRo,Oakridge Cannabis,4-10015 OAKFIELD DR SW
Ogden Cannabis Weed Store & Delivery,4.8,120,OPERATIONAL,"2130 Glenmore Ct SE, Calgary, AB T2C 2E6, Canada",ChIJy-TJwPlxcVMRcS2kXlaZXA8,Ogden Cannabis,2130 GLENMORE CRT SE
Oil & Grass Cannabis,4.9,91,OPERATIONAL,"1715 17 Ave SW, Calgary, AB T2T 0E6, Canada",ChIJkw-ryHpvcVMRCOlSWXVcy4M,Oil & Grass Cannabis,1715 17 AVE SW
Omkara Cannabis,4.5,63,OPERATIONAL,"500 Royal Oak Dr NW #220, Calgary, AB T3G 0E8, Canada",ChIJ45F5PP9pcVMRtLyfIG8Q2_Q,Omkara Cannabis,220-500 ROYAL OAK DR NW
Pearl Cannabis - Savanna Bazaar NE,4.7,12,OPERATIONAL,"5850 88 Ave NE unit 3170r, Calgary, AB T3J 0Z7, Canada",ChIJu1MBJIpjcVMRrTYLow167YQ,Pearl Cannabis,3170R-5850 88 AVE NE
Plantlife Cannabis Seton Calgary,4.9,174,OPERATIONAL,"19651 Seton Way SE #110, Calgary, AB T3M 2L3, Canada",ChIJd6g_l2CdcVMR2Glx2vFZomY,Plantlife,165-5005 DALHOUSIE DR NW
Plantlife Cannabis Seton Calgary,4.9,174,OPERATIONAL,"19651 Seton Way SE #110, Calgary, AB T3M 2L3, Canada",ChIJd6g_l2CdcVMR2Glx2vFZomY,Plantlife,1620-80 MAHOGANY ROAD SE
Plantlife Cannabis Seton Calgary,4.9,174,OPERATIONAL,"19651 Seton Way SE #110, Calgary, AB T3M 2L3, Canada",ChIJd6g_l2CdcVMR2Glx2vFZomY,Plantlife,224-70 SHAWVILLE BLVD SE
Plantlife Cannabis Seton Calgary,4.9,174,OPERATIONAL,"19651 Seton Way SE #110, Calgary, AB T3M 2L3, Canada",ChIJd6g_l2CdcVMR2Glx2vFZomY,Plantlife,5272 130 AVE SE
Plantlife Cannabis Seton Calgary,4.9,174,OPERATIONAL,"19651 Seton Way SE #110, Calgary, AB T3M 2L3, Canada",ChIJd6g_l2CdcVMR2Glx2vFZomY,Plantlife,110-19651 SETON WAY SE
Plantlife Cannabis Seton Calgary,4.9,174,OPERATIONAL,"19651 Seton Way SE #110, Calgary, AB T3M 2L3, Canada",ChIJd6g_l2CdcVMR2Glx2vFZomY,Plantlife,530-7 MAHOGANY PLAZA SE
Plantlife Cannabis Seton Calgary,4.9,174,OPERATIONAL,"19651 Seton Way SE #110, Calgary, AB T3M 2L3, Canada",ChIJd6g_l2CdcVMR2Glx2vFZomY,Plantlife,7130-333 96 AVE NE
Plantlife Cannabis Seton Calgary,4.9,174,OPERATIONAL,"19651 Seton Way SE #110, Calgary, AB T3M 2L3, Canada",ChIJd6g_l2CdcVMR2Glx2vFZomY,Plantlife,4027 UNIVERSITY AVE NW
Prairie Records The Cannabis Shop | Forest Lawn Weed Store,4.4,212,OPERATIONAL,"4420 17 Ave SE Unit D, Calgary, AB T2A 0T6, Canada",ChIJMRquN7B7cVMRE3EN7m_Hy1c,Prairie Records,219A 8 AVE SW
Prairie Records The Cannabis Shop | Forest Lawn Weed Store,4.4,212,OPERATIONAL,"4420 17 Ave SE Unit D, Calgary, AB T2A 0T6, Canada",ChIJMRquN7B7cVMRE3EN7m_Hy1c,Prairie Records,4420D 17 AVENUE SE
RARE Cannabis Co.,4.8,303,OPERATIONAL,"2929 Richmond Rd SW, Calgary, AB T3E 4N3, Canada",ChIJ_4I_PjlxcVMRh2LXgQ9FM1E,RARE Cannabis Co.,2929 RICHMOND RD SW
Record High Cannabis | Weed Dispensary & Delivery,4.8,160,OPERATIONAL,"1907 20 Ave NW, Calgary, AB T2M 1H6, Canada",ChIJLy6_2ZdvcVMR8QgVjkfH-pg,Record High,1907 20 AVE NW
,0.0,0,,,,RGB Group Inc.,232 ASPEN HILLS CLOSE SW
RARE Cannabis Co.,4.8,303,OPERATIONAL,"2929 Richmond Rd SW, Calgary, AB T3E 4N3, Canada",ChIJ_4I_PjlxcVMRh2LXgQ9FM1E,Route 1 Purchasing & Distribution Inc.,4610 80 STREET NW
House of Smoke and Mirrors Cannabis,4.6,9,OPERATIONAL,"2083 146 Ave SE, Calgary, AB T2J 6C3, Canada",ChIJRzZFOXF3cVMRLPcbPSBuN50,Smoke and Mirrors,2083 146 AVE SE
Spiritleaf | Township (Legacy) | Cannabis Store,4.6,64,OPERATIONAL,"20 Longview Common SE #110, Calgary, AB T2X 4S8, Canada",ChIJRyu-G1qfcVMRfVp-LIa1GvM,Spiritleaf,117-45 GREENBRIAR LANE NW
Spiritleaf | Evanston | Cannabis Store,4.5,83,OPERATIONAL,"2060 Symons Valley Pkwy NW #1006, Calgary, AB T3P 0M9, Canada",ChIJR859c31ncVMRQpsty9iaxgw,Spiritleaf - Evanston,1006-2060 SYMONS VALLEY PARKWAY NW
