google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,30-12981 50 ST NW
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,8927L 82 AVENUE
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,9522 ELLERSLIE RD SW
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,101-3342 PARSONS RD NW
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,10573 114 ST NW
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,10275 JASPER AVE NW
Canna Cabana,4.5,878,OPERATIONAL,"10828 124 St, Edmonton, AB T5M 0H3, Canada",ChIJOWZOpNEjoFMRiPHDsF_33nA,Canna Cabana,102-8721 156 ST NW
Cannabacee The Hemp House,4.3,31,OPERATIONAL,"15314 18 St NW, Edmonton, AB T5Y 2R7, Canada",ChIJe2BejtI9oFMRMOEUxI1qR-o,Cannabacee The Hemp House,6111 28 AVE NW
Cannabacee The Hemp House,4.3,31,OPERATIONAL,"15314 18 St NW, Edmonton, AB T5Y 2R7, Canada",ChIJe2BejtI9oFMRMOEUxI1qR-o,Cannabacee The Hemp House,3016A 106 ST NW
Cannabacee The Hemp House,4.3,31,OPERATIONAL,"15314 18 St NW, Edmonton, AB T5Y 2R7, Canada",ChIJe2BejtI9oFMRMOEUxI1qR-o,Cannabacee The Hemp House,15314 18 ST NW
CANNABIS 82,4.7,98,OPERATIONAL,"8118 Whyte Ave NW, Edmonton, AB T6C 0Y4, Canada",ChIJfQNt4rAjoFMRIyvvThgrzTk,Cannabis 82,8118 82 AVENUE NW
Cannabis Cellar Callingwood,4.7,88,OPERATIONAL,"6813 177 St NW, Edmonton, AB T5T 4K3, Canada",ChIJPQKo7KshoFMRAHugY9fjrpI,Cannabis Cellar Callingwood,6813 177 ST NW
Cannabis Discounter,4.0,83,OPERATIONAL,"2063 111 St NW, Edmonton, AB T6J 4V9, Canada",ChIJT_lscEofoFMRZotKTv1uZOo,Cannabis Discounter,3516 EWING TRAIL SW
Cannabis Discounter,4.0,83,OPERATIONAL,"2063 111 St NW, Edmonton, AB T6J 4V9, Canada",ChIJT_lscEofoFMRZotKTv1uZOo,Cannabis Discounter,3909 34 ST NW
Cannabis Discounter,4.0,83,OPERATIONAL,"2063 111 St NW, Edmonton, AB T6J 4V9, Canada",ChIJT_lscEofoFMRZotKTv1uZOo,Cannabis Discounter,17329 HILLER ROAD SW
Cannabis Discounter,4.0,83,OPERATIONAL,"2063 111 St NW, Edmonton, AB T6J 4V9, Canada",ChIJT_lscEofoFMRZotKTv1uZOo,Cannabis Discounter,15150 127 ST NW
Cannabis Discounter,4.0,83,OPERATIONAL,"2063 111 St NW, Edmonton, AB T6J 4V9, Canada",ChIJT_lscEofoFMRZotKTv1uZOo,Cannabis Discounter,2063 111 ST NW
Cannabis Discounter,4.0,83,OPERATIONAL,"2063 111 St NW, Edmonton, AB T6J 4V9, Canada",ChIJT_lscEofoFMRZotKTv1uZOo,Cannabis Discounter,1470 MCCONACHIE BLVD NW
